doc_id|term_str|n|tfidf|sentiment|sentiment_weighted_count
0|choice|1|6.034995421356204|1.0|1.0
0|dumb|1|9.372865060112588|-1.0|-1.0
0|shit|1|8.019228105497888|-1.0|-1.0
1|broken|1|7.15047263877614|-1.0|-1.0
1|completely|1|5.423848988831392|1.0|1.0
1|complicated|1|6.612052723992014|-1.0|-1.0
1|effort|1|7.083358442917603|1.0|1.0
1|impossible|2|13.74072943916681|-1.0|-2.0
1|problem|1|4.654046812656641|-1.0|-1.0
1|production|1|6.476700871097128|1.0|1.0
1|small|1|3.5885937511680246|-1.0|-1.0
1|task|1|7.635899465946381|1.0|1.0
1|unique|1|6.099846565706172|1.0|1.0
2|action|1|6.167750630207975|1.0|1.0
2|ahead|1|7.735435139497296|1.0|1.0
2|alive|1|7.5427900615549|1.0|1.0
2|allied|1|9.735435139497296|1.0|1.0
2|attacking|1|8.635899465946382|-1.0|-1.0
2|ban|4|34.941740557989185|-1.0|-4.0
2|beating|1|8.842350343413807|-1.0|-1.0
2|build|3|14.873482682501232|1.0|3.0
2|cheap|4|27.48145887833362|-1.0|-4.0
2|coast|1|10.957827560833744|1.0|1.0
2|complexity|1|7.735435139497296|-1.0|-1.0
2|comprehensive|1|8.957827560833744|1.0|1.0
2|create|3|13.318506759428637|1.0|3.0
2|creature|2|19.470870278994592|-1.0|-2.0
2|damage|4|21.57217176820087|-1.0|-4.0
2|defeat|1|9.220861966667538|-1.0|-1.0
2|defense|1|7.684809066427328|1.0|1.0
2|demand|1|6.083358442917603|-1.0|-1.0
2|destruction|1|8.294862548111315|-1.0|-1.0
2|dirt|1|7.455327220304561|-1.0|-1.0
2|disruption|1|10.220861966667538|-1.0|-1.0
2|enemy|1|8.019228105497888|-1.0|-1.0
2|extra|1|4.870364719583405|1.0|1.0
2|feature|2|15.17718750233605|1.0|2.0
2|fight|1|6.239009313377797|-1.0|-1.0
2|focus|2|11.369618132854656|1.0|2.0
2|fun|1|6.239009313377797|1.0|1.0
2|general|1|4.60615212255233|1.0|1.0
2|good|3|8.595211259741674|1.0|3.0
2|green|1|7.787902559391432|1.0|1.0
2|guard|1|9.735435139497296|1.0|1.0
2|important|1|2.551268215479205|1.0|1.0
2|including|2|7.49025707140228|1.0|2.0
2|infinite|1|7.684809066427328|1.0|1.0
2|intended|2|14.30094527755228|1.0|2.0
2|land|1|5.722611099139712|1.0|1.0
2|lead|1|4.9354597478052895|1.0|1.0
2|learn|1|5.50936706001745|1.0|1.0
2|learning|1|5.870364719583405|1.0|1.0
2|legal|1|5.304385322229821|1.0|1.0
2|lethal|1|9.5427900615549|-1.0|-1.0
2|limited|6|34.568582088181444|-1.0|-6.0
2|lose|2|11.0187341200349|-1.0|-2.0
2|losing|1|6.957827560833744|-1.0|-1.0
2|money|2|6.419269422488568|1.0|2.0
2|opponent|7|65.61005542078811|-1.0|-7.0
2|opposed|1|7.842350343413808|-1.0|-1.0
2|overwhelm|1|9.735435139497296|-1.0|-1.0
2|partner|1|7.735435139497296|1.0|1.0
2|pauper|1|12.5427900615549|-1.0|-1.0
2|perfect|1|6.565510138054983|1.0|1.0
2|pick|2|12.786085884100435|1.0|2.0
2|planning|1|7.116525306852802|1.0|1.0
2|player|5|34.351823597917026|-1.0|-5.0
2|pool|1|8.083358442917604|1.0|1.0
2|powerful|3|16.69653041416495|1.0|3.0
2|pretty|1|5.531562806131646|1.0|1.0
2|primary|1|7.050936965225225|1.0|1.0
2|professional|1|5.116525306852802|1.0|1.0
2|protect|1|4.78123882911042|1.0|1.0
2|provide|1|4.629900725324939|1.0|1.0
2|pull|1|6.898933871780176|1.0|1.0
2|relevant|1|7.257387842692652|1.0|1.0
2|small|1|3.5885937511680246|-1.0|-1.0
2|strength|1|7.083358442917603|1.0|1.0
2|thriving|1|12.5427900615549|1.0|1.0
2|tutor|1|11.5427900615549|1.0|1.0
2|victory|1|10.5427900615549|1.0|1.0
3|actual|1|5.870364719583405|1.0|1.0
3|information|7|27.810541172567664|1.0|7.0
3|jump|1|7.898933871780176|1.0|1.0
3|skip|1|9.735435139497296|-1.0|-1.0
3|small|1|3.5885937511680246|-1.0|-1.0
4|credit|1|4.891738370375972|1.0|1.0
4|store|1|5.48750762605371|1.0|1.0
5|contempt|1|12.5427900615549|-1.0|-1.0
5|corrupt|1|9.372865060112588|-1.0|-1.0
5|crime|1|6.413507044609934|-1.0|-1.0
5|fair|1|6.220861966667538|1.0|1.0
5|fight|1|6.239009313377797|-1.0|-1.0
5|illegal|1|5.972934453223952|-1.0|-1.0
5|organized|1|7.050936965225225|1.0|1.0
6|center|3|20.054427199281985|1.0|3.0
6|copy|1|7.019228105497887|-1.0|-1.0
6|immediately|1|6.787902559391432|0.0|0.0
6|shape|1|5.787902559391432|1.0|1.0
6|store|3|16.46252287816113|1.0|3.0
6|weird|1|6.928080217439692|-1.0|-1.0
7|birth|1|7.185238056936816|1.0|1.0
7|community|1|6.294862548111315|1.0|1.0
8|accurate|1|6.185238056936816|1.0|1.0
8|appendicitis|1|11.5427900615549|-1.0|-1.0
8|atrophy|1|12.5427900615549|-1.0|-1.0
8|case|1|4.571246507604128|-1.0|-1.0
8|decline|1|8.220861966667538|-1.0|-1.0
8|dying|1|8.5427900615549|-1.0|-1.0
8|evolution|1|6.988201209877262|1.0|1.0
8|feature|1|7.588593751168025|1.0|1.0
8|greater|1|6.988201209877262|1.0|1.0
8|lethal|1|9.5427900615549|-1.0|-1.0
8|pressure|2|9.930722467038304|-1.0|-2.0
8|question|1|4.849303104055575|1.0|1.0
