term_str|n|max_pos|max_pos_group|p|i|df|dfidf|porter_stem|stop|sentiment
abandoned|7|VBN|VERB|8.0678343512251e-06|16.91938710648379|7|118.43570974538652|abandon|False|-1.0
ability|137|NN|NOUN|0.0001578990437311|12.628709945580868|125|1578.5887431976084|abil|False|1.0
abnormal|9|JJ|ADJ|1.0372929880146558e-05|16.556817027099083|7|115.89771918969358|abnorm|False|-1.0
abolition|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|abolit|False|-1.0
abortion|8|NN|NOUN|9.220382115685828e-06|16.726742028541395|6|100.36045217124835|abort|False|-1.0
abscess|10|NN|NOUN|1.1525477644607286e-05|16.404813933654033|5|82.02406966827016|abscess|False|-1.0
absence|14|NN|NOUN|1.61356687024502e-05|15.91938710648379|13|206.95203238428925|absenc|False|-1.0
absent|3|JJ|ADJ|3.457643293382186e-06|18.14177952782024|3|54.42533858346072|absent|False|-1.0
absolute|13|JJ|ADJ|1.4983120937989471e-05|16.0263023104003|13|208.34193003520392|absolut|False|1.0
absorbed|40|VBN|VERB|4.610191057842914e-05|14.404813933654031|37|532.9781155451991|absorb|False|1.0
absurd|14|JJ|ADJ|1.61356687024502e-05|15.91938710648379|14|222.87141949077304|absurd|False|-1.0
absurdity|4|NN|NOUN|4.610191057842914e-06|17.726742028541395|4|70.90696811416558|absurd|False|-1.0
abundance|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|abund|False|0.0
abundant|5|JJ|ADJ|5.762738822303643e-06|17.404813933654033|4|69.61925573461613|abund|False|1.0
abuse|31|NN|NOUN|3.5728980698282586e-05|14.772545718154518|22|324.9960057993994|abus|False|-1.0
abysmal|1|JJ|ADJ|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|abysm|False|-1.0
academic|57|JJ|ADJ|6.569522257426154e-05|13.893852014376652|27|375.1340043881696|academ|False|1.0
academy|8|NNP|NOUN|9.220382115685828e-06|16.726742028541395|7|117.08719419978976|academi|False|1.0
acceptable|16|JJ|ADJ|1.8440764231371657e-05|15.726742028541397|15|235.9011304281209|accept|False|1.0
acceptance|4|NN|NOUN|4.610191057842914e-06|17.726742028541395|4|70.90696811416558|accept|False|1.0
accessible|28|JJ|ADJ|3.22713374049004e-05|14.91938710648379|23|343.1459034491272|access|False|1.0
accident|21|NN|NOUN|2.4203503053675303e-05|15.334424605762631|18|276.0196429037274|accid|False|-1.0
accidental|2|JJ|ADJ|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|accident|False|-1.0
accommodation|3|NN|NOUN|3.457643293382186e-06|18.14177952782024|3|54.42533858346072|accommod|False|1.0
accomplish|12|VB|VERB|1.3830573173528744e-05|16.141779527820237|11|177.5595748060226|accomplish|False|1.0
accomplished|2|VBN|VERB|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|accomplish|False|1.0
accord|1|NNP|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|accord|False|1.0
accountability|7|NN|NOUN|8.0678343512251e-06|16.91938710648379|7|118.43570974538652|account|False|1.0
accountable|10|JJ|ADJ|1.1525477644607286e-05|16.404813933654033|9|147.6433254028863|account|False|1.0
accredited|2|JJ|ADJ|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|accredit|False|1.0
accurate|94|JJ|ADJ|0.0001083394898593|13.172153176863755|82|1080.1165605028282|accur|False|1.0
accused|25|VBN|VERB|2.881369411151821e-05|15.08288583876667|21|316.74060261410006|accus|False|-1.0
accusing|2|VBG|VERB|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|accus|False|-1.0
ache|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|ach|False|-1.0
achieve|56|VB|VERB|6.45426748098008e-05|13.91938710648379|47|654.2111940047381|achiev|False|1.0
achievement|8|NN|NOUN|9.220382115685828e-06|16.726742028541395|8|133.81393622833116|achiev|False|1.0
acid|61|NN|NOUN|7.030541363210445e-05|13.796004690978508|39|538.0441829481618|acid|False|-1.0
acquire|4|VB|VERB|4.610191057842914e-06|17.726742028541395|4|70.90696811416558|acquir|False|1.0
acquiring|6|VBG|VERB|6.915286586764372e-06|17.141779527820237|5|85.70889763910118|acquir|False|1.0
action|102|NN|NOUN|0.0001175598719749|13.054316686569898|83|1083.5082849853015|action|False|1.0
actual|115|JJ|ADJ|0.0001325429929129|12.88125197759702|102|1313.887701714896|actual|False|1.0
acuity|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|acuiti|False|1.0
adapt|29|VB|VERB|3.342388516936113e-05|14.868761033413822|24|356.85026480193176|adapt|False|1.0
adaptable|3|JJ|ADJ|3.457643293382186e-06|18.14177952782024|3|54.42533858346072|adapt|False|1.0
addiction|30|NN|NOUN|3.457643293382186e-05|14.819851432932875|17|251.93747435985887|addict|False|-1.0
addresses|43|NNS|NOUN|4.9559553871811335e-05|14.300477273839295|21|300.31002275062525|address|False|1.0
adjunct|1|JJ|ADJ|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|adjunct|False|1.0
admire|2|VBP|VERB|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|admir|False|1.0
adorable|1|JJ|ADJ|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|ador|False|1.0
advance|12|NN|NOUN|1.3830573173528744e-05|16.141779527820237|11|177.5595748060226|advanc|False|1.0
advanced|81|JJ|ADJ|9.335636892131902e-05|13.386892025656769|63|843.3741976163765|advanc|False|1.0
advancement|6|NN|NOUN|6.915286586764372e-06|17.141779527820237|5|85.70889763910118|advanc|False|1.0
advantage|73|NN|NOUN|8.413598680563319e-05|13.536917469661375|67|906.9734704673124|advantag|False|1.0
advantageous|6|JJ|ADJ|6.915286586764372e-06|17.141779527820237|5|85.70889763910118|advantag|False|1.0
advent|2|NN|NOUN|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|advent|False|1.0
adventure|5|NN|NOUN|5.762738822303643e-06|17.404813933654033|5|87.02406966827016|adventur|False|1.0
adventurous|1|JJ|ADJ|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|adventur|False|1.0
adversary|1|JJ|ADJ|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|adversari|False|-1.0
adverse|4|JJ|ADJ|4.610191057842914e-06|17.726742028541395|4|70.90696811416558|advers|False|-1.0
advisable|8|JJ|ADJ|9.220382115685828e-06|16.726742028541395|8|133.81393622833116|advis|False|1.0
advise|18|VB|VERB|2.074585976029312e-05|15.55681702709908|15|233.35225540648625|advis|False|1.0
adviser|9|NN|NOUN|1.0372929880146558e-05|16.556817027099083|8|132.45453621679266|advis|False|1.0
aesthetic|5|JJ|ADJ|5.762738822303643e-06|17.404813933654033|4|69.61925573461613|aesthet|False|1.0
aesthetics|1|NNS|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|aesthet|False|1.0
affection|7|NN|NOUN|8.0678343512251e-06|16.91938710648379|6|101.51632263890274|affect|False|1.0
affiliated|5|VBN|VERB|5.762738822303643e-06|17.404813933654033|5|87.02406966827016|affili|False|1.0
affluent|2|JJ|ADJ|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|affluent|False|1.0
afford|84|VB|VERB|9.68140122147012e-05|13.334424605762631|69|920.0752977976216|afford|False|1.0
afraid|23|VBN|VERB|2.650859858259676e-05|15.20318007248438|20|304.0636014496876|afraid|False|-1.0
aftertaste|6|NN|NOUN|6.915286586764372e-06|17.141779527820237|3|51.42533858346072|aftertast|False|-1.0
aggression|6|NN|NOUN|6.915286586764372e-06|17.141779527820237|4|68.56711811128095|aggress|False|-1.0
aggressive|27|JJ|ADJ|3.1118789640439674e-05|14.971854526377925|26|389.268217685826|aggress|False|-1.0
aggressor|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|aggressor|False|-1.0
